"","left20","left30","left40","left50","left60","left70","left80","left90","peak","peakdate","peakvalue","smooth","right90","right80","right70","right60","right50","right40","right30","right20"
"TCj4",3,2,3,3,1,3,1,3,1,1,4,2,3,2,3,1,3,2,3,1
"TCk1",4,2,1,1,1,1,3,4,1,1,2,4,1,1,4,2,4,4,1,0
"TCk2",4,2,1,1,2,1,3,1,3,1,3,4,4,1,1,3,4,1,1,0
"TCk3",2,2,2,1,2,1,3,1,1,1,2,4,1,1,1,2,4,4,4,0
"TCk4",1,4,4,4,4,2,3,4,2,1,4,2,2,4,1,3,4,4,4,3
"TCl1",4,2,1,4,4,2,4,1,1,1,2,4,4,1,1,2,4,1,2,0
"TCl2",2,4,2,4,4,4,4,3,3,4,2,4,3,4,2,3,4,4,4,0
"TCl3",2,4,4,4,4,4,4,3,1,1,2,1,3,1,1,2,2,4,4,1
"TCl4",1,3,4,2,3,4,2,3,1,1,4,2,3,1,1,2,2,4,4,4
"TNa1",2,4,4,4,3,4,4,3,3,4,2,4,3,4,2,4,4,3,0,0
"TNa2",1,1,4,2,3,4,2,3,1,4,3,4,3,2,1,3,4,4,4,3
"TNa3",1,3,4,2,3,4,2,3,3,4,2,1,3,1,2,3,4,1,4,0
"TNa4",1,4,4,2,3,4,4,3,3,4,4,2,4,4,2,4,4,4,4,1
"TNb1",2,4,2,1,2,1,3,1,1,1,2,4,1,4,1,2,2,4,1,0
"TNb2",2,4,4,4,4,2,3,1,4,4,2,1,1,4,2,3,4,4,4,0
"TNb3",2,4,4,4,4,2,4,3,1,1,2,1,4,4,1,2,2,2,3,1
"TNb4",2,4,2,4,4,2,3,1,2,1,4,2,1,1,4,2,3,2,3,3
"TNc1",3,2,3,3,1,3,4,3,3,1,4,4,3,2,3,1,1,2,2,0
"TNc2",3,2,3,3,1,3,1,4,1,1,2,4,2,4,1,3,4,4,1,0
"TNc3",4,2,1,1,1,1,3,4,1,1,4,1,2,4,2,3,4,1,2,0
"TNc4",3,2,3,3,1,3,1,3,1,1,4,2,3,3,3,1,2,4,3,1
"TNd1",1,3,4,2,3,4,2,3,1,4,2,4,3,2,2,3,4,1,1,0
"TNd2",4,2,1,3,1,1,3,4,2,1,2,4,1,4,1,2,4,4,1,0
"TNd3",2,4,4,4,4,4,4,3,4,4,4,1,4,4,2,3,4,4,4,0
"TNd4",2,4,2,1,2,1,3,4,1,1,4,2,2,1,1,2,2,2,3,3
"TNe1",1,3,4,4,4,2,4,1,3,4,2,4,4,4,2,4,4,1,1,0
"TNe2",4,2,1,3,1,1,1,2,2,1,4,1,2,4,2,3,4,4,1,0
"TNe3",2,2,1,1,2,1,3,1,3,1,4,1,4,4,2,3,4,4,4,0
"TNe4",2,4,2,1,4,2,4,3,3,1,4,2,3,1,1,2,2,4,4,3
"TNf1",3,2,1,1,3,4,2,3,1,1,4,1,3,3,3,1,1,2,3,0
"TNf2",3,2,3,3,1,3,1,1,1,1,2,1,4,1,4,2,2,4,1,0
"TNf3",3,2,3,3,1,1,3,1,3,1,4,1,1,1,4,1,3,2,4,0
"TNf4",2,4,2,1,2,2,3,1,3,1,4,2,1,1,4,2,2,4,4,3
"TNg1",4,2,1,1,1,1,1,4,2,1,2,4,2,4,1,2,4,1,2,0
"TNg2",2,4,4,4,4,2,4,3,3,4,3,4,3,4,2,4,4,1,4,0
"TNg3",2,4,2,4,4,2,4,3,3,1,2,1,3,4,2,3,4,4,1,1
"TNg4",4,4,2,1,1,1,1,2,1,1,4,2,2,4,2,3,2,4,4,3
"TNh1",2,4,2,1,2,2,4,3,3,1,4,4,3,1,1,2,2,3,2,0
"TNh2",1,1,4,2,3,4,2,3,1,4,2,1,3,2,3,1,2,4,4,3
"TNh3",1,1,4,2,3,4,2,3,1,4,2,1,3,2,1,3,4,4,4,1
"TNh4",2,4,2,4,4,2,3,1,3,1,4,1,1,1,1,2,2,2,1,0
"TNi1",1,4,4,4,2,2,3,4,2,4,4,1,2,4,2,4,4,1,2,0
"TNi2",3,2,3,3,1,3,1,3,1,1,2,1,3,3,3,1,3,2,4,1
"TNi3",4,2,1,3,1,1,1,4,1,1,4,1,1,1,4,2,2,4,4,3
"TNi4",3,2,3,3,1,3,1,4,4,1,4,2,2,4,1,2,2,4,3,3
"TNj1",3,2,3,3,1,3,1,4,2,1,4,4,2,1,4,2,3,4,2,0
"TNj2",2,2,1,3,1,2,4,1,4,4,4,1,4,1,1,3,4,1,2,0
"TNj3",4,2,3,3,1,1,3,4,2,1,4,1,1,4,2,3,4,4,2,0
"TNj4",2,4,2,1,2,2,3,1,3,1,4,2,1,1,4,1,2,4,3,1
"TNk1",2,4,2,1,2,1,3,1,1,1,4,4,4,1,1,2,4,1,2,0
"TNk2",1,4,4,4,4,2,3,1,2,1,4,1,1,1,1,3,4,1,4,0
"TNk3",1,1,4,2,3,4,2,3,3,4,4,1,3,4,2,4,4,1,4,0
"TNk4",1,4,4,4,4,2,3,1,4,1,4,2,1,1,1,3,4,4,4,1
"TNl1",2,4,2,1,1,1,1,2,1,1,4,1,2,4,1,3,4,1,2,0
"TNl2",1,1,4,2,3,4,2,3,1,4,3,4,3,2,3,3,4,1,1,2
"TNl3",1,1,4,2,3,4,2,3,1,4,2,4,3,3,2,3,4,4,1,0
"TNl4",2,4,2,1,2,2,3,1,1,1,4,2,1,1,4,2,2,4,4,4
"KHa1",4,2,1,1,1,1,3,1,1,1,2,4,1,1,4,2,2,4,4,0
"KHa2",4,2,1,1,2,1,3,1,1,1,2,1,1,1,4,2,4,4,4,0
"KHa3",2,4,2,1,2,1,3,1,4,1,2,1,1,1,1,2,2,4,4,3
"KHa4",2,4,2,1,2,2,3,1,1,1,2,2,4,1,4,2,2,2,3,4
"KHb1",4,2,1,1,2,1,3,1,1,1,2,1,4,1,4,2,2,2,1,0
"KHb2",3,2,1,3,1,1,1,1,1,1,2,1,1,1,1,3,4,4,4,0
"KHb3",4,2,2,1,2,1,3,1,1,1,2,1,4,1,4,2,2,4,4,1
"KHb4",2,4,2,4,4,2,3,1,1,1,4,2,4,1,4,2,2,2,3,4
"KHc1",4,2,1,1,2,2,4,3,1,1,2,1,3,2,3,1,3,2,1,0
"KHc2",3,2,1,3,1,1,3,1,1,1,2,1,1,1,4,2,2,1,1,0
"KHc3",4,2,2,1,2,2,3,1,3,1,2,1,4,1,1,2,2,4,4,0
"KHc4",2,4,2,4,4,4,4,3,1,1,4,2,3,3,4,2,2,2,3,4
"KHd1",4,2,1,1,1,1,4,3,1,1,2,1,3,3,3,1,1,2,4,3
"KHd2",1,1,4,2,3,4,2,3,3,4,3,4,3,2,4,2,2,2,3,4
"KHd3",1,3,4,4,4,4,4,3,3,1,2,1,4,1,4,2,2,2,3,4
"KHd4",2,4,2,4,4,2,3,1,3,1,4,2,4,1,4,2,2,2,3,4
"KHe1",2,4,2,1,2,1,3,3,1,1,2,1,3,2,3,2,2,2,3,1
"KHe2",4,4,2,1,4,2,4,3,1,1,2,1,3,2,3,2,2,2,4,3
"KHe3",2,4,2,1,2,2,3,3,1,1,2,1,3,3,4,2,2,2,3,3
"KHe4",1,4,4,4,4,2,4,3,1,1,2,2,3,2,4,2,2,2,3,4
"KHf1",2,4,2,1,2,1,3,4,2,1,4,4,2,4,2,3,4,4,2,0
"KHf2",2,4,4,2,3,4,2,3,1,4,2,4,3,1,2,4,4,1,1,0
"KHf3",2,4,2,4,4,2,4,1,3,4,4,1,4,4,2,3,4,4,4,0
"KHf4",2,4,2,1,2,1,1,4,1,1,4,2,2,4,1,2,2,2,3,4
"KHg1",1,1,4,2,3,4,2,3,1,4,3,1,3,1,1,3,4,4,4,3
"KHg2",2,4,2,1,2,1,3,4,2,1,2,1,2,1,1,2,2,4,4,3
"KHg3",1,4,4,4,4,2,4,3,3,4,2,1,4,4,1,2,2,4,4,3
"KHg4",1,4,2,1,2,1,3,4,4,1,4,2,1,4,1,2,2,2,3,4
"KHh1",3,2,3,3,2,2,4,3,1,1,2,1,3,3,3,2,2,2,4,0
"KHh2",4,2,2,2,3,4,2,3,1,1,2,1,3,1,1,3,4,4,4,1
