,1Feature,CE,CE dropped,2Feature,CE,CE dropped,3Feature,CE,CE dropped
294,,,,,,,left50_left70_right50,0.36844655,0.111742552
295,,,,,,,left50_left70_right40,0.409253734,0.064505576
296,,,,,,,left50_left80_left90,0.262113128,0.031457815
297,,,,,,,left50_left80_peak,0.300993827,0.069728561
298,,,,,,,left50_left80_peakdate,0.311483432,0.053660804
299,,,,,,,left50_left80_peakvalue,0.307199978,0.076638971
300,,,,,,,left50_left80_right80,0.151780459,0.092222695
301,,,,,,,left50_left80_right70,0.200527944,0.130233414
302,,,,,,,left50_left80_right60,0.254985105,0.123851841
303,,,,,,,left50_left80_right50,0.250316724,0.09773578
304,,,,,,,left50_left80_right40,0.331598048,0.078871631
305,,,,,,,left50_left90_peak,0.298367844,0.037734016
306,,,,,,,left50_left90_peakdate,0.267012608,0.069089252
307,,,,,,,left50_left90_peakvalue,0.265009444,0.071092416
308,,,,,,,left50_left90_right80,0.227299503,0.100568463
309,,,,,,,left50_left90_right70,0.205398896,0.098070999
310,,,,,,,left50_left90_right60,0.243312768,0.06299869
311,,,,,,,left50_left90_right50,0.225764738,0.107496595
312,,,,,,,left50_left90_right40,0.27946304,0.05663882
313,,,,,,,left50_peak_peakdate,0.385156361,0.144309074
314,,,,,,,left50_peak_peakvalue,0.380830539,0.148634896
315,,,,,,,left50_peak_right80,0.307740743,0.109137813
316,,,,,,,left50_peak_right70,0.287618519,0.152602211
317,,,,,,,left50_peak_right60,0.353889958,0.137683081
318,,,,,,,left50_peak_right50,0.361516645,0.152516187
319,,,,,,,left50_peak_right40,0.376577954,0.152887481
320,,,,,,,left50_peakdate_peakvalue,0.496638717,0.104767125
321,,,,,,,left50_peakdate_right80,0.331660126,0.08521843
322,,,,,,,left50_peakdate_right70,0.341684465,0.098536265
323,,,,,,,left50_peakdate_right60,0.367748824,0.123824215
324,,,,,,,left50_peakdate_right50,0.392453405,0.121579427
325,,,,,,,left50_peakdate_right40,0.411980524,0.133586982
326,,,,,,,left50_peakvalue_right80,0.290816893,0.126061663
327,,,,,,,left50_peakvalue_right70,0.326943089,0.113277641
328,,,,,,,left50_peakvalue_right60,0.40320005,0.088372989
329,,,,,,,left50_peakvalue_right50,0.360919855,0.153112977
330,,,,,,,left50_peakvalue_right40,0.420926071,0.124641435
331,,,,,,,left50_right80_right70,0.332040687,0.084837869
332,,,,,,,left50_right80_right60,0.350365363,0.066513193
333,,,,,,,left50_right80_right50,0.350960598,0.065917958
334,,,,,,,left50_right80_right40,0.335418917,0.081459639
335,,,,,,,left50_right70_right60,0.339831943,0.100388787
336,,,,,,,left50_right70_right50,0.362167668,0.078053062
337,,,,,,,left50_right70_right40,0.367990253,0.072230477
338,,,,,,,left50_right60_right50,0.421433704,0.070139335
339,,,,,,,left50_right60_right40,0.437357487,0.054215552
340,,,,,,,left50_right50_right40,0.464308809,0.049724023
341,,,,,,,left60_left70_left80,0.432012527,0.021044065
342,,,,,,,left60_left70_left90,0.326562527,0.009477256
343,,,,,,,left60_left70_peak,0.460336794,0.045583134
344,,,,,,,left60_left70_peakdate,0.466503803,0.05056985
345,,,,,,,left60_left70_peakvalue,0.446670498,0.080963655
346,,,,,,,left60_left70_right80,0.334063591,0.054925385
347,,,,,,,left60_left70_right70,0.332687216,0.06627617
348,,,,,,,left60_left70_right60,0.398620502,0.068060198
349,,,,,,,left60_left70_right50,0.377288157,0.069089252
350,,,,,,,left60_left70_right40,0.409711896,0.064047414
351,,,,,,,left60_left80_left90,0.264084567,0.029486376
352,,,,,,,left60_left80_peak,0.310153414,0.060568974
353,,,,,,,left60_left80_peakdate,0.312212871,0.052931365
354,,,,,,,left60_left80_peakvalue,0.299559869,0.08427908
355,,,,,,,left60_left80_right80,0.18303125,0.060971904
356,,,,,,,left60_left80_right70,0.232745979,0.098015379
357,,,,,,,left60_left80_right60,0.305485537,0.073351409
358,,,,,,,left60_left80_right50,0.251052452,0.097000052
359,,,,,,,left60_left80_right40,0.294688917,0.115780762
360,,,,,,,left60_left90_peak,0.304778169,0.031261614
361,,,,,,,left60_left90_peakdate,0.271939349,0.064100434
362,,,,,,,left60_left90_peakvalue,0.286289005,0.049750778
363,,,,,,,left60_left90_right80,0.249772676,0.07809529
364,,,,,,,left60_left90_right70,0.2100052,0.093464695
365,,,,,,,left60_left90_right60,0.26372953,0.042581928
366,,,,,,,left60_left90_right50,0.234747783,0.09851355
367,,,,,,,left60_left90_right40,0.265989605,0.070050178
368,,,,,,,left60_peak_peakdate,0.357635328,0.1482846
369,,,,,,,left60_peak_peakvalue,0.424351091,0.081568837
370,,,,,,,left60_peak_right80,0.330697751,0.058291225
371,,,,,,,left60_peak_right70,0.276847798,0.122115588
372,,,,,,,left60_peak_right60,0.355822256,0.134359084
373,,,,,,,left60_peak_right50,0.34480247,0.101574939
374,,,,,,,left60_peak_right40,0.354348121,0.149380617
375,,,,,,,left60_peakdate_peakvalue,0.425901467,0.150025739
376,,,,,,,left60_peakdate_right80,0.284169423,0.104819553
377,,,,,,,left60_peakdate_right70,0.289714025,0.109249361
